domain,i,j,value1,value2
plasma,2,157,24938.5661,1197787.6984
plasma,2,158,24938.5661,1197787.6984
plasma,2,159,24938.5661,1197787.6984
plasma,2,160,24938.5661,1197787.6984
plasma,2,161,24938.5661,1197787.6984
plasma,2,162,24938.5661,1197787.6984
plasma,2,163,24938.5661,1197787.6984
plasma,2,164,24938.5661,1197787.6984
plasma,2,165,24938.5661,1197787.6984
plasma,2,166,24938.5661,1197787.6984
plasma,2,167,24938.5661,1197787.6984
plasma,2,168,24938.5661,1197787.6984
plasma,2,169,24938.5661,1197787.6984
plasma,2,170,24938.5661,1197787.6984
plasma,2,171,24938.5661,1197787.6984
plasma,2,172,24938.5661,1197787.6984
plasma,2,173,24938.5661,1197787.6984
plasma,2,174,24938.5661,1197787.6984
plasma,2,175,24938.5661,1197787.6984
plasma,2,176,24938.5661,1197787.6984
plasma,2,177,24938.5661,1197787.6984
plasma,2,178,24938.5661,1197787.6984
plasma,2,179,24938.5661,1197787.6984
plasma,3,0,24886.8644,1195924.8096
plasma,3,1,24886.8644,1195924.8096
plasma,3,2,24886.8644,1195924.8096
plasma,3,3,24886.8644,1195924.8096
plasma,3,4,24886.8644,1195924.8096
plasma,3,5,24886.8644,1195924.8096
plasma,3,6,24886.8644,1195924.8096
plasma,3,7,24886.8644,1195924.8096
plasma,3,8,24886.8644,1195924.8096
plasma,3,9,24886.8644,1195924.8096
plasma,3,10,24886.8644,1195924.8096
plasma,3,11,24886.8644,1195924.8096
plasma,3,12,24886.8644,1195924.8096
plasma,3,13,24886.8644,1195924.8096
plasma,3,14,24886.8644,1195924.8096
plasma,3,15,24886.8644,1195924.8096
plasma,3,16,24886.8644,1195924.8096
plasma,3,17,24886.8644,1195924.8096
plasma,3,18,24886.8644,1195924.8096
plasma,3,19,24886.8644,1195924.8096
plasma,3,20,24886.8644,1195924.8096
plasma,3,21,24886.8644,1195924.8096
plasma,3,22,24886.8644,1195924.8096
plasma,3,23,24886.8644,1195924.8096
plasma,3,24,24886.8644,1195924.8096
plasma,3,25,24886.8644,1195924.8096
plasma,3,26,24886.8644,1195924.8096
plasma,3,27,24886.8644,1195924.8096
plasma,3,28,24886.8644,1195924.8096
plasma,3,29,24886.8644,1195924.8096
plasma,3,30,24886.8644,1195924.8096
plasma,3,31,24886.8644,1195924.8096
plasma,3,32,24886.8644,1195924.8096
plasma,3,33,24886.8644,1195924.8096
plasma,3,34,24886.8644,1195924.8096
plasma,3,35,24886.8644,1195924.8096
plasma,3,36,24886.8644,1195924.8096
plasma,3,37,24886.8644,1195924.8096
plasma,3,38,24886.8644,1195924.8096
plasma,3,39,24886.8644,1195924.8096
plasma,3,40,24886.8644,1195924.8096
plasma,3,41,24886.8644,1195924.8096
plasma,3,42,24886.8644,1195924.8096
plasma,3,43,24886.8644,1195924.8096
plasma,3,44,24886.8644,1195924.8096
plasma,3,45,24886.8644,1195924.8096
plasma,3,46,24886.8644,1195924.8096
plasma,3,47,24886.8644,1195924.8096
